,index,Valor real,Valor preditivo,porcentagem de acerto %
0,0,5618,4937.702,86.22237974038643
1,3,1421,1343.0884,94.19906967274949
2,8,16440,14625.994,87.59738420558752
3,10,2747,2366.292,83.91119907984992
4,14,5343,4692.2026,86.13023746697455
5,19,21680,19338.275,87.89072674748314
6,20,3976,3451.9863,84.81993779623032
7,23,1117,1343.0884,83.16653003204702
8,29,2555,2194.3296,83.56352610721838
9,31,2266,1928.3651,82.49113274551063
10,33,5576,4900.433,86.21413903645913
11,35,2226,1884.8849,81.90260240657052
12,36,2081,1762.7029,81.9426675591836
13,39,3424,2971.4475,84.76996518541664
14,47,2003,1701.0437,82.24876300237891
15,50,5246,4593.4805,85.7946597206809
16,58,2276,1934.1693,82.32674428034836
17,63,14430,12824.54,87.48134470283222
18,76,2633,2254.7102,83.22224319250078
19,80,8467,7481.4326,86.82648854514439
20,88,8027,7080.1406,86.62654564152814
21,92,4137,3606.59,85.29331309675965
22,93,14150,12561.526,87.3544536994977
23,95,3846,3340.6562,84.87291980430491
24,96,919,1343.0884,68.42438773451318
25,101,2883,2479.251,83.7148789189023
26,103,4554,3983.859,85.68872217884105
27,106,15380,13680.393,87.57632566339741
28,107,8900,7866.2866,86.85894083576477
29,108,2826,2435.3667,83.95998019901634
30,119,1418,1343.0884,94.42243546513636
31,131,19640,17508.357,87.82499964581648
32,135,3940,3432.267,85.20706877216352
33,144,10790,9564.484,87.18680927323905
34,149,1191,1343.0884,88.67621957758999
35,157,26800,23912.19,87.92327004377425
36,169,11460,10151.741,87.11296159073696
37,185,791,1343.0884,58.89411392600644
38,210,2470,2119.933,83.486889580233
39,212,3328,2869.2937,84.01326784215988
40,216,760,1343.0884,56.58600073800872
41,217,9031,7978.9375,86.81450381081441
42,222,1364,1343.0884,98.44301972810014
43,233,3864,3368.0317,85.27424026081627
44,239,3078,2655.534,84.0911065455421
45,246,2453,2101.715,83.28579767384454
46,249,1517,1343.0884,87.05136431636944
47,252,3154,2720.5376,84.06703135743543
48,253,3035,2609.5854,83.69800264986114
49,260,6054,5322.5405,86.25732450700023
50,264,4221,3675.858,85.16966370387865
51,266,9613,8516.955,87.13102380109896
52,268,8683,7685.783,87.02517660829234
53,275,2000,1690.8696,81.71766966482727
54,287,2366,2013.2563,82.47894994820706
55,291,915,1343.0884,68.12656667799735
56,292,3459,2997.0383,84.58606066910619
57,293,5228,4585.356,85.98486030330295
58,294,1114,1343.0884,82.94316423966015
59,296,2235,1900.2306,82.38269551090794
60,304,12040,10682.263,87.28979670867587
61,305,1718,1437.7755,80.50985812247092
62,312,1435,1343.0884,93.15669597494404
63,316,12410,11013.121,87.3162303913762
64,317,14390,12792.932,87.51600958842477
65,319,3659,3161.4197,84.2608583172287
